run_accession	condition	is_control	drop	experiment_accession	sample_accession	submission_accession	study_accession	sample_name	sample_alias	experiment_name	experiment_alias	experiment_title	library_layout	platform	library_strategy	library_selection	study_name	study_title	study_abstract
ERR351332	ST3	0	0	ERX324172	ERS358327	ERA256782	ERP004034	E-MTAB-1946:ST3_R2	E-MTAB-1946:ST3_R2	E-MTAB-1946:ST3_rep2	E-MTAB-1946:ST3_rep2	arabidopsis_thaliana_floral_meristem_atlas	SINGLE - 	ILLUMINA	RNA-Seq	other	E-MTAB-1946	arabidopsis_thaliana_floral_meristem_atlas	Transcriptomic changes during early developmental stages of reproductive meristems in Arabidopsis thaliana. Through laser microdissection coupled to RNA sequencing, we provide precise transcriptomic analysis of the inflorescence meristem, floral meristem and of the flower at the beginning of organ differentiation. Transcript abundance quantification and differential expression (DE) analyses were performed using the Bowtie/Tophat/Cufflinks pipeline (BTC) (Trapnell et al., 2012) with the RefSeq Arabidopsis annotation. The BTC pipeline identified 46 genes as differentially expressed between IM and FM, 171 genes differentially expressed between FM and ST3 and 178 genes differentially expressed between IM and ST3. The obtained data turned out to be solid since they are highly consistent with established knowledge but they also allowed the identification of new high profile candidate genes as well as new insights into potential regulatory networks underlying the formation of these reproductive structures. We provide a web interface for easy interrogation of these unique datasets.
ERR351331	FM	0	0	ERX324169	ERS358324	ERA256782	ERP004034	E-MTAB-1946:FM_R2	E-MTAB-1946:FM_R2	E-MTAB-1946:FM_rep2	E-MTAB-1946:FM_rep2	arabidopsis_thaliana_floral_meristem_atlas	SINGLE - 	ILLUMINA	RNA-Seq	other	E-MTAB-1946	arabidopsis_thaliana_floral_meristem_atlas	Transcriptomic changes during early developmental stages of reproductive meristems in Arabidopsis thaliana. Through laser microdissection coupled to RNA sequencing, we provide precise transcriptomic analysis of the inflorescence meristem, floral meristem and of the flower at the beginning of organ differentiation. Transcript abundance quantification and differential expression (DE) analyses were performed using the Bowtie/Tophat/Cufflinks pipeline (BTC) (Trapnell et al., 2012) with the RefSeq Arabidopsis annotation. The BTC pipeline identified 46 genes as differentially expressed between IM and FM, 171 genes differentially expressed between FM and ST3 and 178 genes differentially expressed between IM and ST3. The obtained data turned out to be solid since they are highly consistent with established knowledge but they also allowed the identification of new high profile candidate genes as well as new insights into potential regulatory networks underlying the formation of these reproductive structures. We provide a web interface for easy interrogation of these unique datasets.
ERR351334	IM	0	0	ERX324167	ERS358322	ERA256782	ERP004034	E-MTAB-1946:IM_R1	E-MTAB-1946:IM_R1	E-MTAB-1946:IM_rep1	E-MTAB-1946:IM_rep1	arabidopsis_thaliana_floral_meristem_atlas	SINGLE - 	ILLUMINA	RNA-Seq	other	E-MTAB-1946	arabidopsis_thaliana_floral_meristem_atlas	Transcriptomic changes during early developmental stages of reproductive meristems in Arabidopsis thaliana. Through laser microdissection coupled to RNA sequencing, we provide precise transcriptomic analysis of the inflorescence meristem, floral meristem and of the flower at the beginning of organ differentiation. Transcript abundance quantification and differential expression (DE) analyses were performed using the Bowtie/Tophat/Cufflinks pipeline (BTC) (Trapnell et al., 2012) with the RefSeq Arabidopsis annotation. The BTC pipeline identified 46 genes as differentially expressed between IM and FM, 171 genes differentially expressed between FM and ST3 and 178 genes differentially expressed between IM and ST3. The obtained data turned out to be solid since they are highly consistent with established knowledge but they also allowed the identification of new high profile candidate genes as well as new insights into potential regulatory networks underlying the formation of these reproductive structures. We provide a web interface for easy interrogation of these unique datasets.
ERR351336	FM	0	0	ERX324171	ERS358326	ERA256782	ERP004034	E-MTAB-1946:FM_R1	E-MTAB-1946:FM_R1	E-MTAB-1946:FM_rep1	E-MTAB-1946:FM_rep1	arabidopsis_thaliana_floral_meristem_atlas	SINGLE - 	ILLUMINA	RNA-Seq	other	E-MTAB-1946	arabidopsis_thaliana_floral_meristem_atlas	Transcriptomic changes during early developmental stages of reproductive meristems in Arabidopsis thaliana. Through laser microdissection coupled to RNA sequencing, we provide precise transcriptomic analysis of the inflorescence meristem, floral meristem and of the flower at the beginning of organ differentiation. Transcript abundance quantification and differential expression (DE) analyses were performed using the Bowtie/Tophat/Cufflinks pipeline (BTC) (Trapnell et al., 2012) with the RefSeq Arabidopsis annotation. The BTC pipeline identified 46 genes as differentially expressed between IM and FM, 171 genes differentially expressed between FM and ST3 and 178 genes differentially expressed between IM and ST3. The obtained data turned out to be solid since they are highly consistent with established knowledge but they also allowed the identification of new high profile candidate genes as well as new insights into potential regulatory networks underlying the formation of these reproductive structures. We provide a web interface for easy interrogation of these unique datasets.
ERR351333	IM	0	0	ERX324170	ERS358325	ERA256782	ERP004034	E-MTAB-1946:IM_R2	E-MTAB-1946:IM_R2	E-MTAB-1946:IM_rep2	E-MTAB-1946:IM_rep2	arabidopsis_thaliana_floral_meristem_atlas	SINGLE - 	ILLUMINA	RNA-Seq	other	E-MTAB-1946	arabidopsis_thaliana_floral_meristem_atlas	Transcriptomic changes during early developmental stages of reproductive meristems in Arabidopsis thaliana. Through laser microdissection coupled to RNA sequencing, we provide precise transcriptomic analysis of the inflorescence meristem, floral meristem and of the flower at the beginning of organ differentiation. Transcript abundance quantification and differential expression (DE) analyses were performed using the Bowtie/Tophat/Cufflinks pipeline (BTC) (Trapnell et al., 2012) with the RefSeq Arabidopsis annotation. The BTC pipeline identified 46 genes as differentially expressed between IM and FM, 171 genes differentially expressed between FM and ST3 and 178 genes differentially expressed between IM and ST3. The obtained data turned out to be solid since they are highly consistent with established knowledge but they also allowed the identification of new high profile candidate genes as well as new insights into potential regulatory networks underlying the formation of these reproductive structures. We provide a web interface for easy interrogation of these unique datasets.
ERR351335	ST3	0	0	ERX324168	ERS358323	ERA256782	ERP004034	E-MTAB-1946:ST3_R1	E-MTAB-1946:ST3_R1	E-MTAB-1946:ST3_rep1	E-MTAB-1946:ST3_rep1	arabidopsis_thaliana_floral_meristem_atlas	SINGLE - 	ILLUMINA	RNA-Seq	other	E-MTAB-1946	arabidopsis_thaliana_floral_meristem_atlas	Transcriptomic changes during early developmental stages of reproductive meristems in Arabidopsis thaliana. Through laser microdissection coupled to RNA sequencing, we provide precise transcriptomic analysis of the inflorescence meristem, floral meristem and of the flower at the beginning of organ differentiation. Transcript abundance quantification and differential expression (DE) analyses were performed using the Bowtie/Tophat/Cufflinks pipeline (BTC) (Trapnell et al., 2012) with the RefSeq Arabidopsis annotation. The BTC pipeline identified 46 genes as differentially expressed between IM and FM, 171 genes differentially expressed between FM and ST3 and 178 genes differentially expressed between IM and ST3. The obtained data turned out to be solid since they are highly consistent with established knowledge but they also allowed the identification of new high profile candidate genes as well as new insights into potential regulatory networks underlying the formation of these reproductive structures. We provide a web interface for easy interrogation of these unique datasets.
ERR466187	SE_15D	0	0	ERX432424	ERS426827	ERA295485	ERP005391	E-MTAB-2403:SE_15D	E-MTAB-2403:SE_15D	E-MTAB-2403:SE_15D	E-MTAB-2403:SE_15D	Illumina HiSeq 2000 paired end sequencing; Transcriptome profiling of Arabidopsis embryogenesis in vitro	PAIRED - NOMINAL_LENGTH: 190; 	ILLUMINA	RNA-Seq	cDNA	E-MTAB-2403	Transcriptome profiling of Arabidopsis embryogenesis in vitro	Somatic embryogenesis closely resembles zygotic embryogenesis and hence, it is considered as a model system to explore dynamic events of embryogenesis, at a molecular level. We sequenced three district developmental time points of somatic embryo development in Arabidopsis thaliana with the aim of exploring transcriptomes at a global scale.
ERR466188	SE_10D	0	0	ERX432425	ERS426828	ERA295485	ERP005391	E-MTAB-2403:SE_10D	E-MTAB-2403:SE_10D	E-MTAB-2403:SE_10D	E-MTAB-2403:SE_10D	Illumina HiSeq 2000 paired end sequencing; Transcriptome profiling of Arabidopsis embryogenesis in vitro	PAIRED - NOMINAL_LENGTH: 190; 	ILLUMINA	RNA-Seq	cDNA	E-MTAB-2403	Transcriptome profiling of Arabidopsis embryogenesis in vitro	Somatic embryogenesis closely resembles zygotic embryogenesis and hence, it is considered as a model system to explore dynamic events of embryogenesis, at a molecular level. We sequenced three district developmental time points of somatic embryo development in Arabidopsis thaliana with the aim of exploring transcriptomes at a global scale.
ERR466189	SE_5D	0	0	ERX432423	ERS426826	ERA295485	ERP005391	E-MTAB-2403:SE_5D	E-MTAB-2403:SE_5D	E-MTAB-2403:SE_5D	E-MTAB-2403:SE_5D	Illumina HiSeq 2000 paired end sequencing; Transcriptome profiling of Arabidopsis embryogenesis in vitro	PAIRED - NOMINAL_LENGTH: 190; 	ILLUMINA	RNA-Seq	cDNA	E-MTAB-2403	Transcriptome profiling of Arabidopsis embryogenesis in vitro	Somatic embryogenesis closely resembles zygotic embryogenesis and hence, it is considered as a model system to explore dynamic events of embryogenesis, at a molecular level. We sequenced three district developmental time points of somatic embryo development in Arabidopsis thaliana with the aim of exploring transcriptomes at a global scale.
SRR069556	D-shoot-Copper-deficient	1	0	SRX028956	SRS117450	SRA025017	SRP003864	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	GSM608536	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
